Country,Population,Books,Colour
Puerto Rico,3351827,NA,#d95f02
Qatar,2314307,NA,#e7298a
Romania,21529967,287,#7570b3
Russia,142257519,874,#d95f02
Rwanda,11901484,NA,#66a61e
S. Geo. and the Is.,30,NA,#e6ab02
S. Sudan,13026129,NA,#d95f02
Saint Helena,7828,NA,#d95f02
Saint Lucia,164994,NA,#1b9e77
Samoa,200108,NA,#d95f02
San Marino,33537,NA,#7570b3
Sao Tome and Principe,201025,NA,#e6ab02
Saudi Arabia,28571770,NA,#1b9e77
Senegal,14668522,NA,#d95f02
Serbia,7111024,208,#d95f02
Seychelles,93920,NA,#e7298a
Siachen Glacier,6000,NA,#aaaaaa
Sierra Leone,6163195,NA,#1b9e77
Singapore,5888926,2,#e7298a
Sint Maarten,42083,NA,#66a61e
Slovakia,5445829,1639,#e6ab02
Slovenia,1972126,541,#d95f02
Solomon Is.,647581,NA,#d95f02
Somalia,7531386,NA,#d95f02
Somaliland,3500000,NA,#66a61e
South Africa,54841552,11,#66a61e
South Korea,51181299,103,#7570b3
Spain,48958159,849,#e6ab02
Sri Lanka,22409381,10,#1b9e77
St. Kitts and Nevis,52715,NA,#d95f02
St. Pierre and Miquelon,5533,NA,#7570b3
St. Vin. and Gren.,102089,NA,#7570b3
St-Barthelemy,7184,NA,#7570b3
St-Martin,32125,NA,#e7298a
Sudan,37345935,NA,#e6ab02
Suriname,591919,NA,#e7298a
Sweden,9960487,316,#1b9e77
Switzerland,8236303,516,#1b9e77
Syria,18028549,16,#e6ab02
Taiwan,23508428,6,#d95f02
Tajikistan,8468555,5,#66a61e
Tanzania,53950935,NA,#1b9e77
Thailand,68414135,6,#e7298a
Timor-Leste,1291358,NA,#e7298a
Togo,7965055,NA,#7570b3
Tonga,106479,NA,#66a61e
Trinidad and Tobago,1218208,NA,#d95f02
Tunisia,11403800,NA,#7570b3
Turkey,80845215,138,#66a61e
Turkmenistan,5351277,4,#66a61e
Turks and Caicos Is.,52570,NA,#e7298a
Tuvalu,11052,NA,#e7298a
U.S. Minor Outlying Is.,300,NA,#66a61e
U.S. Virgin Is.,107268,NA,#7570b3
Uganda,39570125,NA,#7570b3
Ukraine,44033874,214,#66a61e
United Arab Emirates,6072475,1,#7570b3
United Kingdom,64769452,1214,#1b9e77
United States of America,326625791,1344,#1b9e77
Uruguay,3360148,NA,#1b9e77
Uzbekistan,29748859,7,#d95f02
Vanuatu,282814,NA,#e7298a
Vatican,1000,1,#66a61e
Venezuela,31304016,4,#e6ab02
Vietnam,96160163,44,#e6ab02
W. Sahara,603253,NA,#e6ab02
Wallis and Futuna Is.,15714,NA,#1b9e77
Yemen,28036829,NA,#e7298a
Zambia,15972000,NA,#7570b3
Zimbabwe,13805084,2,#1b9e77
